,0
0,2
1,1
2,3
3,4
4,4
5,4
6,3
7,0
8,3
9,3
10,3
11,1
12,2
13,3
14,0
15,0
16,3
17,0
18,4
19,3
20,0
21,3
22,0
23,2
24,3
25,0
26,3
27,4
28,2
29,2
30,1
31,2
32,3
33,3
34,0
35,1
36,0
37,2
38,4
39,4
40,0
41,1
42,2
43,2
44,1
45,2
46,4
47,1
48,1
49,0
50,2
51,1
52,2
53,1
54,0
55,1
56,2
57,1
58,0
59,4
60,0
61,4
62,3
63,0
64,0
65,3
66,4
67,0
68,3
69,2
70,4
71,1
72,3
73,4
74,4
75,4
76,4
77,1
78,1
79,2
80,2
81,2
82,0
83,1
84,0
85,0
86,0
87,3
88,2
89,3
90,0
91,3
92,1
93,0
94,3
95,2
96,2
97,1
98,2
99,0
100,1
101,2
102,1
103,0
104,3
105,3
106,0
107,4
108,2
109,3
110,2
111,1
112,2
113,3
114,0
115,1
116,4
117,3
118,3
119,1
120,2
121,4
122,2
123,1
124,0
125,2
126,1
127,3
128,0
129,1
130,1
131,1
132,3
133,0
134,3
135,3
136,1
137,3
138,4
139,2
140,0
141,3
142,1
143,2
144,4
145,3
146,1
147,3
148,1
149,3
150,2
151,3
152,4
153,2
154,2
155,3
156,0
157,1
158,1
159,1
160,2
161,0
162,1
163,1
164,1
165,4
166,2
167,1
168,2
169,1
170,4
171,3
172,0
173,0
174,0
175,4
176,4
177,4
178,0
179,3
180,3
181,3
182,1
183,1
184,3
185,1
186,0
187,4
188,4
189,1
190,3
191,2
192,1
193,4
194,0
195,1
196,4
197,2
198,3
199,1
