Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo)
39.3,20.6,190.0,3650.0,8.66496,-25.29805
39.2,19.6,195.0,4675.0,9.4606,-24.89958
34.6,21.1,198.0,4400.0,8.55583,-25.22588
42.5,20.7,197.0,4500.0,8.67538,-25.13993
46.0,21.5,194.0,4200.0,9.11616,-24.77227
37.7,18.7,180.0,3600.0,8.66271,-25.0639
38.2,18.1,185.0,3950.0,8.43423,-25.22664
38.8,17.2,180.0,3800.0,9.63954,-25.29856
40.6,18.6,183.0,3550.0,8.93997,-25.36288
40.5,18.9,180.0,3950.0,8.90027,-25.11609
37.2,18.1,178.0,3900.0,9.72764,-25.0102
40.9,18.9,184.0,3900.0,8.79665,-25.14591
39.2,21.1,196.0,4150.0,9.15308,-25.03469
38.8,20.0,190.0,3950.0,9.18985,-25.12255
44.1,19.7,196.0,4400.0,9.2372,-24.52698
39.6,18.8,190.0,4600.0,9.49106,-24.10255
42.3,21.2,191.0,4150.0,8.87988,-25.18543
40.1,18.9,188.0,4300.0,8.51362,-26.55602
42.0,19.5,200.0,4050.0,8.48095,-26.3146
41.4,18.6,191.0,3700.0,8.35396,-26.27853
40.6,18.8,193.0,3800.0,8.56674,-25.98843
37.6,19.1,194.0,3750.0,9.108,-25.89677
41.3,21.1,195.0,4400.0,8.74802,-26.37809
41.1,18.2,192.0,4050.0,8.62264,-26.60023
41.6,18.0,192.0,3950.0,8.85562,-26.09294
41.1,19.1,188.0,4100.0,8.71078,-25.81012
41.8,19.4,198.0,4450.0,8.86853,-26.06209
39.7,18.4,190.0,3900.0,9.29808,-25.23453
45.8,18.9,197.0,4150.0,8.18658,-26.45978
42.8,18.5,195.0,4250.0,8.2993,-26.38986
37.2,19.4,184.0,3900.0,8.3554,-26.44787
42.1,19.1,195.0,4000.0,9.05736,-25.81513
42.9,17.6,196.0,4700.0,8.63259,-26.23027
35.1,19.4,193.0,4200.0,8.90002,-26.46254
41.3,20.3,194.0,3550.0,9.14863,-26.09635
36.3,19.5,190.0,3800.0,8.57087,-26.22227
38.3,19.2,189.0,3950.0,9.07826,-26.12417
41.1,18.1,205.0,4300.0,8.77018,-25.83352
39.6,18.1,186.0,4450.0,8.49915,-26.42406
40.8,18.9,208.0,4300.0,8.48204,-26.57941
40.3,18.5,196.0,4350.0,8.39459,-26.01152
43.2,18.5,192.0,4100.0,8.97025,-26.03679
41.0,20.0,203.0,4725.0,9.01079,-26.38085
37.8,20.0,190.0,4250.0,9.51929,-25.69199
39.7,18.9,184.0,3550.0,8.85699,-25.80208
38.2,20.0,190.0,3900.0,9.59245,-25.70711
43.2,19.0,197.0,4775.0,9.31735,-25.45171
45.6,20.3,191.0,4600.0,8.65466,-26.32909
42.2,19.5,197.0,4275.0,8.80186,-26.41218
42.7,18.3,196.0,4075.0,8.91434,-26.42018
37.3,20.5,199.0,3775.0,9.49645,-26.36678
41.1,18.6,189.0,3325.0,9.32277,-26.09989
37.7,19.8,198.0,3500.0,9.11066,-26.42563
41.4,18.5,202.0,3875.0,9.59462,-25.42621
40.6,19.0,199.0,4000.0,9.22537,-25.60826
41.5,18.3,195.0,4300.0,8.52566,-26.0245
44.1,18.0,210.0,4000.0,9.10702,-26.01363
43.1,19.2,197.0,3500.0,8.86495,-26.1396
37.5,18.5,199.0,4475.0,8.56708,-26.49288
41.1,17.5,190.0,3900.0,8.94365,-26.06943
40.2,20.1,200.0,3975.0,8.95998,-26.32601
39.7,17.9,193.0,4250.0,9.25769,-25.88798
40.6,17.2,187.0,3475.0,9.23408,-26.01549
40.7,17.0,190.0,3725.0,9.05674,-25.79529
39.0,18.7,185.0,3650.0,9.22033,-26.03442
39.2,18.6,190.0,4250.0,9.11006,-25.79549
37.8,18.1,193.0,3750.0,8.97533,-26.03495
41.5,18.5,201.0,4000.0,8.8964,-26.06967
50.0,16.3,230.0,5700.0,8.14756,-25.39369
50.0,15.2,218.0,5700.0,8.2554,-25.40075
47.6,14.5,215.0,5400.0,8.2345,-25.54456
46.7,15.3,219.0,5200.0,8.22673,-25.4276
46.8,15.4,215.0,5150.0,8.1631,-25.38017
49.0,16.1,216.0,5550.0,8.10417,-25.50562
48.4,14.6,213.0,5850.0,7.8208,-25.48025
49.3,15.7,217.0,5850.0,8.07137,-25.52473
49.2,15.2,221.0,6300.0,8.27376,-25.00169
48.7,15.1,222.0,5350.0,7.96491,-25.39587
