Type,Length
0,111
0,29
1,155
0,49
0,61
1,147
0,77
0,160
1,157
1,154
0,109
1,136
1,155
0,196
0,35
1,149
0,26
0,81
0,56
1,155
0,41
0,47
0,52
0,88
0,57
0,144
0,30
0,134
0,75
0,64
0,130
0,189
0,29
0,84
1,158
0,122
0,47
0,28
0,27
0,155
0,82
0,142
1,172
0,19
0,72
0,32
0,45
0,31
0,67
0,148
0,58
0,124
0,80
0,289
1,120
0,76
1,161
0,34
0,22
0,40
0,108
0,48
0,25
0,56
0,110
1,152
0,122
1,159
1,78
0,34
0,46
0,29
0,45
0,42
0,20
0,43
0,73
0,50
0,42
0,76
0,22
0,32
0,32
0,36
0,14
0,55
0,121
0,144
0,42
0,41
0,58
0,195
0,141
1,137
0,107
1,158
0,33
0,51
0,178
0,31
0,57
0,81
0,76
0,160
0,183
0,44
0,95
0,43
0,82
0,115
0,30
0,40
0,31
0,96
1,158
0,143
0,156
1,152
0,72
0,86
1,144
1,156
0,53
1,156
0,52
0,38
0,20
0,244
0,22
0,107
0,28
0,9
0,39
0,25
1,125
1,162
0,38
0,34
0,46
1,155
0,85
0,33
0,27
0,156
0,42
0,25
0,48
1,159
0,84
0,33
0,30
0,45
0,59
0,25
0,160
0,384
0,28
0,27
0,157
1,124
1,145
0,115
0,64
0,85
1,152
1,155
0,51
1,156
0,74
0,67
0,59
0,50
0,94
0,33
0,105
0,61
0,65
0,26
0,146
0,66
0,126
0,159
0,23
0,65
0,24
0,26
0,152
0,34
1,147
0,55
0,88
1,72
0,185
0,37
0,111
0,92
0,28
0,28
0,64
0,131
0,40
0,28
0,84
0,174
0,24
0,25
0,63
0,156
0,28
0,86
0,39
0,73
0,26
0,23
0,23
0,31
0,58
0,48
0,41
0,32
0,159
0,25
0,161
0,22
0,119
1,142
0,69
1,137
0,30
0,165
0,34
0,109
0,37
0,33
0,48
1,157
0,50
0,65
0,38
0,145
1,145
0,51
0,45
0,83
0,155
0,37
0,78
0,30
0,31
0,146
1,150
0,44
0,179
0,27
0,179
0,38
0,97
0,43
0,36
1,154
0,72
0,3
0,85
0,51
1,121
0,26
0,35
0,47
1,159
0,47
1,133
0,53
0,147
1,155
0,37
0,31
0,8
0,38
0,30
0,47
0,56
0,22
0,141
0,29
0,7
0,121
0,58
0,4
0,148
0,160
0,152
0,37
0,55
0,21
0,22
0,50
1,159
0,67
0,153
0,51
0,67
0,88
0,157
0,91
0,24
1,146
0,57
0,26
0,71
1,138
0,55
0,156
1,133
0,119
0,142
0,41
0,26
0,119
0,46
1,157
0,23
0,51
0,62
0,107
0,157
0,30
0,32
0,31
0,79
0,32
0,86
0,22
0,76
1,128
0,232
1,158
0,45
0,57
0,26
0,22
0,41
0,28
0,151
0,29
0,34
0,52
0,33
0,85
0,31
1,111
0,78
0,50
0,63
0,148
0,129
0,45
0,202
1,150
1,148
0,168
0,85
0,38
0,15
0,31
0,88
0,160
0,50
1,165
1,129
0,26
0,31
0,129
0,34
0,54
0,162
1,157
0,23
0,53
0,131
0,36
0,143
0,300
0,59
0,42
0,41
1,149
0,22
0,31
0,30
1,155
0,47
0,25
0,80
0,22
0,115
0,56
0,102
0,118
0,221
0,204
0,114
1,156
0,39
0,36
0,48
0,77
0,60
0,168
0,51
0,22
0,152
0,75
0,30
0,95
0,24
1,49
0,35
0,29
1,106
0,66
1,159
0,48
1,162
0,24
1,136
0,248
0,25
0,27
0,37
0,68
0,150
0,24
0,80
1,157
0,25
0,73
0,89
0,58
0,36
0,76
0,47
0,104
0,38
0,69
0,22
0,119
0,94
0,70
0,73
0,42
0,17
0,13
0,45
0,57
0,105
