Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo)
39.5,17.4,186.0,3800.0,8.94956,-24.69454
40.3,18.0,195.0,3250.0,8.36821,-25.33302
36.7,19.3,193.0,3450.0,8.76651,-25.32426
39.3,20.6,190.0,3650.0,8.66496,-25.29805
38.9,17.8,181.0,3625.0,9.18718,-25.21799
39.2,19.6,195.0,4675.0,9.4606,-24.89958
42.0,20.2,190.0,4250.0,9.13362,-25.09368
37.8,17.1,186.0,3300.0,8.63243,-25.21315
34.6,21.1,198.0,4400.0,8.55583,-25.22588
38.7,19.0,195.0,3450.0,9.18528,-25.06691
42.5,20.7,197.0,4500.0,8.67538,-25.13993
34.4,18.4,184.0,3325.0,8.47827,-25.23319
46.0,21.5,194.0,4200.0,9.11616,-24.77227
37.8,18.3,174.0,3400.0,8.73762,-25.09383
37.7,18.7,180.0,3600.0,8.66271,-25.0639
35.9,19.2,189.0,3800.0,9.22286,-25.03474
38.2,18.1,185.0,3950.0,8.43423,-25.22664
38.8,17.2,180.0,3800.0,9.63954,-25.29856
35.3,18.9,187.0,3800.0,9.21292,-24.3613
40.6,18.6,183.0,3550.0,8.93997,-25.36288
40.5,17.9,187.0,3200.0,8.08138,-25.49448
37.9,18.6,172.0,3150.0,8.38404,-25.19837
40.5,18.9,180.0,3950.0,8.90027,-25.11609
39.5,16.7,178.0,3250.0,9.69756,-25.11223
37.2,18.1,178.0,3900.0,9.72764,-25.0102
39.5,17.8,188.0,3300.0,9.66523,-25.0602
40.9,18.9,184.0,3900.0,8.79665,-25.14591
36.4,17.0,195.0,3325.0,9.17847,-25.23061
39.2,21.1,196.0,4150.0,9.15308,-25.03469
38.8,20.0,190.0,3950.0,9.18985,-25.12255
42.2,18.5,180.0,3550.0,8.04787,-25.49523
37.6,19.3,181.0,3300.0,9.41131,-25.04169
36.5,18.0,182.0,3150.0,9.68933,-24.4228
36.0,18.5,186.0,3100.0,9.50772,-25.03492
44.1,19.7,196.0,4400.0,9.2372,-24.52698
37.0,16.9,185.0,3000.0,9.36392,-25.01745
39.6,18.8,190.0,4600.0,9.49106,-24.10255
36.0,17.9,190.0,3450.0,9.51784,-25.07683
42.3,21.2,191.0,4150.0,8.87988,-25.18543
39.6,17.7,186.0,3500.0,8.46616,-26.12989
40.1,18.9,188.0,4300.0,8.51362,-26.55602
